id,video,vote_count,vote_average,title,release_date,original_language,original_title,genre_ids/0,backdrop_path,adult,overview,poster_path,popularity,id_imdb,genre_ids/1,genre_ids/2,genre_ids/3,genre_ids/4,genre_ids/5,genre_ids/6
686918,false,0,0,Lone Wolf,2020-08-06,en,Lone Wolf,18,,false,"A contemporary adaptation of Joseph Conrad’s 1907 novel, ""The Secret Agent.""",/ltDCoCxZtKr9qv3himg2QePMinA.jpg,2.339,tt10644372,,,,,,
678482,false,0,0,Los visitados,,en,Los visitados,,,false,Mexican feature film,,0.6,tt11665966,,,,,,
672125,false,3,6.3,Love Mocktail,2020-01-31,kn,ಲವ್ Mocktail,10749,/5VPIkLkBHKBd1QvewF4iDRPQK2j.jpg,false,"Love Mocktail is a 2020 Indian Kannada-language romantic drama film directed by Krishna in his director debut and jointly produced by Krishna, Milana Nagaraj. The film stars Krishna, Milana Nagaraj in the lead roles. The film was released on 31 January 2020.",/bJqYDmyJffTk9ruvPt6B5WTPe9B.jpg,1.893,tt10919132,18,,,,,
695396,false,0,0,Love Spreads,2020-04-15,en,Love Spreads,,,false,"It is time to record the all important second album and Glass Heart is breaking in a million pieces. Away from touring and performing the band is not in harmony, and no amount of history in Rockfield Studios is going to solve that. Three very different songwriters, one desperate producer, a label exec and a keyboard collide.",,1.048,tt11777510,,,,,,
687735,false,0,0,Love Aaj Kal Porshu,2020-02-14,bn,লাভ আজ কাল পরশু,18,/52JTG3LlBFGB5VIBegDwjvHsDrf.jpg,false,"Two people whose love is a force that can never be changed, no matter how much its surroundings may change. A unique take on the timelessness of romance.",/my4WQL4wJU0SITt0YyjOU6MeDNU.jpg,0.814,tt10801042,878,10749,,,,
702806,false,0,0,Los últimos españoles de Mauthausen,2020-05-01,es,Los últimos españoles de Mauthausen,99,/dJELF7QSKaQmuzxTpalHfDU91wK.jpg,false,"The story of the more than nine thousand Spaniards who were interned in the Nazi concentration camps, through the testimony of a group of survivors who tell what life and death were like in Mauthausen, Auschwitz, Buchenwald and Ravensbrück.",/kxSj9fz3HLsr9HDEF2Xa2dq2WyD.jpg,1.626,tt12252908,36,,,,,
661095,false,3,9.2,Loco por vos,2020-01-23,es,Loco por vos,35,,false,"Lucas and Simón, friends who work in a creative agency in Bogotá, throw a party as a favor to their boss, Johana. There, Lucas meets Lina, Johana's paisa cousin who travels to Bogotá to get a visa and go to study fashion design in the United States. Madly in love, Lucas travels to Medellin to try to conquer Lina, where he will realize that Before conquering her, she will have to conquer her paisa family.",/cCknM93iXmPorUxb51cGn0qTxnd.jpg,2.723,tt11584724,,,,,,
660000,false,0,0,Lost Illusions,2020-02-12,fr,Comédie humaine,18,/rRLhG1mQa0gG3irdw7XgD64jpZV.jpg,false,"Taking place between the years 1837 and 1843, Balzac’s classic novel focuses on the young poet Lucien de Rubempre, who leaves Angouleme for Paris in the pursuit of becoming an author.",,0.6,tt10505316,36,,,,,
663909,false,0,0,Love Story,2020-05-29,te,Love Story,10749,,false,A boy and a girl move into the city from the village.,/itNtwwBCUfP3KXtcdVWR9NMMjSb.jpg,4.767,tt11384004,,,,,,
667835,false,2,5.5,LOL & der Aufstieg des Bösen,2020-01-15,en,LOL & The Rise of Evil,12,,false,"Bad Santa and Sick Granny have left hell. With their intention to lure people to hell, DickFace, Regga and Cool Santa have to stop them by making fun. On their journey they meet a lot of nice people and of course some really messed-up people.",/1KUsRvn8DTtxcNIawPNX6cn0B3W.jpg,0.6,tt9490012,35,,,,,
664035,false,0,0,Love Sarah,2020-04-24,en,Love Sarah,18,/iEOEESv419KdBkXQywFIIR4eTxV.jpg,false,"A young woman wishes to fulfill her mother's dream of opening her own bakery in Notting Hill, London. To do this, she enlists the help of an old friend and her grandma.",/6YCppAgj0ROJ42im3Q2ypbv2Fa0.jpg,3.755,tt9448932,,,,,,
692989,false,0,0,Lorelei,,en,Lorelei,,,false,"A man is released from prison after 15 years. He reunites with his high school girlfriend, now a single mother of three. What follows is a lyrical take on love, regret and second chances.",,0.6,tt6461318,,,,,,
635503,false,0,0,Lootcase,2019-10-11,hi,Lootcase,35,,false,"Lootcase is a Hindi movie starring Kunal Kemmu, Rasika Duggal, Gajraj Rao, Ranvir Shorey and Vijay Raaz. This Hindi comedy unfolding the drama which revolves around the red suitcase underlines the film's title 'Lootcase'.",/dVeYpiRerfHQI0WGmhTBmle17vs.jpg,1.543,tt10515526,18,,,,,
638983,false,0,0,Don't Air Your Dirty Laundry In Public,2020-04-10,es,Los trapos sucios se lavan en casa,,,false,"Lupita and Toña work as housemaids at the Ruíz Palacio’s house, an aristocratic Mexican family. For a long time they have been mistreated and poorly paid. They’re now fed up with the abuse and lack of respect they get from their employers.",/p7IKvF2Roj176FCw5dO0EZbxuY0.jpg,0.665,tt11568324,,,,,,
696817,false,0,0,Love in the Forecast,2020-06-13,en,Love in the Forecast,10749,,false,"After swearing off dating for a full year, Leah quickly learns her new commitment has made her a magnet for men.",/cM6nyGoZ4xgatjc7U1Lx6dn7oMJ.jpg,3.148,tt11836852,,,,,,
655524,false,0,0,Lovecut,2020-01-22,de,Lovecut,18,,false,"Through different intersecting stories, the film tells about the lives of three teenage couples who are trying to find their own identities in a digital paced world.",/sdYIOZzgCRGd9RPs2JAfonitnnu.jpg,1.4,tt7613162,,,,,,
696735,false,0,0,Erotic,2020-01-01,en,Erotic,10402,/jQWRxvYGRhxcjh7bJ3caKJvCaAo.jpg,false,"Angèle and Adam form a young ideal couple. A few years pass. One evening, they meet again. Strangers to each other, can their love come back to life ?",/dC4jtC7XkZ5u4cnLCbNG6WSBFlY.jpg,0.6,tt11416882,10749,,,,,
659993,false,0,0,Erna at War,,da,Erna i krig,,,false,,,0.6,tt10747310,,,,,,
662286,false,1,7,One-way to Moscow,2020-02-13,de,Moskau einfach!,35,/lJ4xGL4jMYeeLtvAEWRBIAjCqOm.jpg,false,"30 years ago, Switzerland was shaken by a scandal that seems to have already been forgotten: more than 900,000 people were surveilled because of their political convictions. Against the backdrop of this ""secret files scandal,"" Micha Lewinsky sets his film. Conscientious policeman Viktor Schuler is tasked by his superior to infiltrate the Schauspielhaus, a renowned Zurich theatre, in order to keep an eye on its leftist scene. However, Viktor finds himself quite taken with the artist's life and falls in love with the subversive actress Odile Lehmann.",/nXcvuNVCcYoTdlvNDqqfImIKHod.jpg,0.934,tt10949014,,,,,,
666928,false,0,0,Only You Alone,2020-01-25,zh,Only You Alone,18,,false,"Since her grandfather died, Chi Li has lived alone in the house of an aunt who is abroad. She has no contact with her parents. It is a lonely life, but Chi Li is doing fine. She has a job at a cinema and no need for a relationship. She protects herself this way because who would want her as a girlfriend? Chi Li has epilepsy. In north-eastern China where she lives, this means she simply isn't marriage material.  When a boy nevertheless shows interest, some warmth seems to penetrate her armoured existence. However, a romantic trip to a dance performance painfully reminds her of her past as a dancer. Only You Alone is a powerful portrait of a courageous young woman, made all the more so by the great acting of Chi Yun, who co-wrote the script with director Zhou Zhou.",,0.6,tt11465242,,,,,,
651712,false,0,0,On The Road To San Juan,,es,Sanjuaneros,,,false,"Each year during the month of January approximately 3 million pilgrims visit the Virgin of San Juan de los Lagos, one of the most important religious sites in Mexico. Guided only by their faith, love and devotion, and facing tremendous physical and emotional adversity, each pilgrim reveals their personal motivations and interpretations of what brotherhood, faith and God means to them in the 21st century.",/eVLnmKnUFfrKpxkZTyr79k5ZzqA.jpg,0.6,tt10160514,,,,,,
651391,false,0,0,Uno para todos,2020-05-15,es,Uno para todos,18,/qApvcsQaZvKK8nqLret4GQS7PVQ.jpg,false,,/9RDkX9juP0E6QvgyVWdO2QO0kpE.jpg,16.815,tt9717498,,,,,,
598584,false,0,0,Once a Year on Blackpool Sands,,en,Once a Year on Blackpool Sands,,,false,"Once a Year on Blackpool Sands, is a moving comedy-drama about the love, identity and courage of the LGBTQ community during the first walk towards Gay Pride in 1950s England.  Based on the real-life events of Yorkshire coal miners and secret gay lovers, Tommy and Eddy, who spend their annual week holiday at a quirky B & B in Blackpool, along with a few other alternative members of society – the transgender Mr. Elbridge, the ex-show girl Red Ethel and the eccentric owner Gladys and her flirty daughter Maureen. The film takes us on a rollercoaster journey through the North of England to the beaches of Greece, as we follow each character’s fight for equality and freedom in an age that still deemed being gay, or “different” as a crime.  Our protagonists find courage in one another's bravery and initiate the first walks towards gay pride in the UK as they walk the length of Blackpool pier, defying prejudice and abuse.",/p2TUvuVP1i7mh8ygXYs0EnIndXZ.jpg,0.6,tt10039338,,,,,,
524417,false,0,0,Once Upon a Time in Staten Island,,en,Once Upon a Time in Staten Island,18,,false,A teen embarks on a quest in his Rocky Balboa-obsessed town that swirls in his family members.,,0.84,tt7743120,,,,,,
613710,false,9,8.1,One Day We'll Talk About Today,2020-01-02,id,Nanti Kita Cerita Tentang Hari Ini,18,/36PG7x5XTjbcPc62lSIkiFsw7t9.jpg,false,"Harboring a deep secret, a seemingly happy family confronts the trauma of years past as a clash between generations threatens to separate them.",/n84V5KItbDoTQiWSzxGVbixnpzJ.jpg,4.754,tt10773114,,,,,,
640348,false,0,0,Online Billie,2019-10-14,en,Online Billie,18,,false,The story of a wannabe actor who falls in love with a camgirl.,,1.462,tt7279030,10749,,,,,
665769,false,0,0,One of These Days,2020-02-21,en,One of These Days,,,false,"In the Texan “Hands on a Hardbody” competition, contestants stand around a new pickup truck for days, touching it with one hand. Whoever holds out the longest wins the truck.",/dUVmg8z1wXB23Om3XzLvPXDNNlq.jpg,2.833,tt8415728,,,,,,
699267,false,0,0,One Child Left Behind: The Untold Atlanta Cheating Scandal,2019-08-15,en,One Child Left Behind: The Untold Atlanta Cheating Scandal,99,,false,"In 2009, 1,176 Atlanta teachers were investigated for test cheating; 35 were indicted, 12 went to trial and 11 were found guilty on RICO charges, which are typically reserved for the mafia and drug lords. The guilty, serving 30-year sentences, finally break their silence in this tell-all, controversial film that takes a closer look at the legislations called No Child Left Behind, the politics behind it, and a race and power struggle that spawned one of the most complex scandals in American history.",/qOdgVuNTH4ZUeBKe07eV4UcnkHM.jpg,0.6,tt8416380,,,,,,
661659,false,0,0,"On Vodka, Beers, and Regrets",2020-02-05,tl,"On Vodka, Beers, and Regrets",18,,false,"It follows the story of Jane Pineda, a washed-up actress and former child star whose career hits rock bottom. Struggling to get movie roles and trying to escape from a big scandal, Jane seeks comfort in alcohol. She then meets Francis who’s a vocalist of a band.",/uYAS88CMiCRI9wW5PCzc8qo6eYV.jpg,1.4,tt11697536,10749,,,,,
701753,false,0,0,One Last Prayer,2020-02-04,en,One Last Prayer,,,false,"A hot-tempered father with a sordid past learns that his daughter has a rare illness and he doesn't have the resources to pay for treatment. He finds himself faced with a choice, return to life in the streets or continue on a path of faith.",/1TgYlvbGMwmhuM8mXFxVd2NEl7p.jpg,0.6,tt5730824,,,,,,
682296,false,0,0,One Vote,,en,One Vote,,,false,"Filmed in five locations on a single day, One Vote captures the compelling stories of diverse voters on Election Day 2016. At times funny, surprising and heart-wrenching, the film eschews partisan politics in favor of an honest portrayal.",,0.6,tt6823020,,,,,,
695338,false,0,0,On a Clear Day You Can See the Revolution From Here,2020-04-25,en,On a Clear Day You Can See the Revolution From Here,99,/ha4pwc85uy2UX4i8l2BqaqteqZg.jpg,false,"From the lush and green grass of the Kazakh Steppe to the glorifying architecture of its capital, from its giant open-air mines to the traces of invisible nuclear power, Kazakhstan is here captured in fragments. A fake observational film, but a genuine geographical and historical journey, through the remnants of the Soviet past and the contemporary capitalist ambitions of the country.",/s4goACewkNg5ACr9y0EW0EaPsjX.jpg,1.648,tt12084330,,,,,,
579875,false,0,0,На острие,2020-03-26,ru,На острие,18,/xQa3UTd45xbaUk1KVnDXwlmR6ni.jpg,false,"The two main characters are the best Russian saber fencers. One of them has long been at the pinnacle of fame, the second unexpectedly broke into the national team and begins to win almost all tournaments. Between the two great fencers, real fights begin both in tournaments and in life.",/9hPphaM9OObxVoC9kQruITeydjY.jpg,1.312,tt10146208,,,,,,
575417,false,0,0,On the Rocks,,en,On the Rocks,18,,false,A young mother reconnects with her larger-than-life playboy father on an adventure through New York. ,,1.148,tt9606374,35,,,,,
656276,false,0,0,One in a Thousand,2020-02-20,es,Las mil y una,,,false,"Set in a community of project houses, Iris, a young woman with a tough past, meets Renata and feels immediately attracted to her. A tender coming of age story about friendship and first love in a hostile environment.",/6U4hXc0V8bkPbW6FLuLXVNQMOMH.jpg,1.4,tt11747286,,,,,,
669923,false,0,0,Onze jongens in de jungle,2020-02-09,en,Onze jongens in de jungle,99,,false,Documentary about Dutch soldiers serving in Suriname.,,1.319,tt11610694,,,,,,
610359,false,0,0,On Halloween,2019-06-21,en,On Halloween,27,,false,A journalist goes in search of the truth after a series of brutal deaths and disappearances lead back to an urban legend about a serial killing clown that has stalked the woods of Century Park for over a hundred years.,/xxGaD5xBPxfgPVMOT4bi34jxsJn.jpg,1.069,tt6580050,53,,,,,
